,Appname,Score,Processed_Text
0,Instagram,5,best app instagram
1,Instagram,2,suspended new acc without reason
2,Instagram,5,asha sings asha devi
3,Instagram,5,
4,Instagram,5,earea instagram contrifriesh
5,Instagram,5,insanity
6,Instagram,5,freey
7,Instagram,3,bahut
8,Instagram,1,hard rool
9,Instagram,2,instagram timewaste machine
10,Instagram,1,q
11,Instagram,5,
12,Instagram,5,interested
13,Instagram,3,insta gram plz mera k flloew pura
14,Instagram,5,
15,Instagram,5,app good
16,Instagram,5,good see fun
17,Instagram,5,like
18,Instagram,4,instagram beg decreaseing follower network issue asthethic filter removed whythat good filter plz add
19,Instagram,1,anklet
20,Instagram,5,best friend
21,Instagram,5,great
22,Instagram,1,tiktok never tiktok stop ruining thing people actually like app sorry attempt mimic tiktok literally point making longer search nonreel post using search function point taking away ability look post hashtags taking away story filter like purposefully want make app worse mention weird sexual racist content stay
23,Instagram,5,happy
24,Instagram,1,man please let people choose highlight bubble new update like dont give people autonomy want
25,Instagram,5,niceee app
26,Instagram,5,amezing app
27,Instagram,5,true aap
28,Instagram,3,wte
29,Instagram,1,bad app kam nhe karta kou larki sm nhe karta hee
30,Instagram,5,poor app plus download phone
31,Instagram,1,instagram isnt responding
32,Instagram,5,bos
33,Instagram,1,autistic jokerberg instagram deployed autistic policy maker team autistics found culpability common word add simple option like deleting notification pause reel write comment reporting inappropriate content work always show vulgar reel im interested doubt instagram created promote nudityvulgarity getting worst day day
34,Instagram,1,useless waste time
35,Instagram,5,
36,Instagram,5,baigan ka hai app pora baigan mil ja ta apan fast
37,Instagram,5,fine
38,Instagram,2,
39,Instagram,5,playing make rummy even fun
40,Instagram,1,app glitchy nonfunctional ad lot take half screen ai system inappropriate make app stop working together disappointed app download
41,Instagram,1,lind app h
42,Instagram,3,good
43,Instagram,1,hello dear instagram team sir instagram account disabled want facebook account sir im sure didnt break rule regulation respect comunnity guidelins sir im sure made mistake please sir request please review account reopen instagram account well soon possible thank sir instagram username raxstar
44,Instagram,5,good
45,Instagram,5,super instagram friend
46,Instagram,5,great
47,Instagram,5,nice
48,Instagram,5,fun use post watch video everything
49,Instagram,5,useless
50,Instagram,5,around
51,Instagram,1,terrible experience app company
52,Instagram,5,best social medium apps
53,Instagram,5,
54,Instagram,1,shoving thread throat showing post girl fingering cop hell
55,Instagram,1,unwanted update regularly one asked due diligence feature work keep pushing update sick ruined experience sure many people frustrated issue cant post quiz story cant post multiple slide post content reach achievement feature gone cant see badge engineer instagram dont take feedback
56,Instagram,5,werry werry suppurb app eny small problem
57,Instagram,1,notification category user shared post might like follow cause want turn
58,Instagram,5,best app ever
59,Instagram,5,love instagram
60,Instagram,5,le land star bank
61,Instagram,5,like
62,Instagram,1,working app device
63,Instagram,5,nice
64,Instagram,5,good
65,Instagram,1,
66,Instagram,1,instagram showing advert illegal good
67,Instagram,5,nice saanam
68,Instagram,1,two star dirty content people getting underage kid fan coming year old best app usually block purposely give weard content still thing say app speaks self
69,Instagram,5,best app
70,Instagram,2,guy peak
71,Instagram,5,super
72,Instagram,1,bight kiaaaass
73,Instagram,5,supper apap
74,Instagram,1,waste
75,Instagram,5,sadiq muniri
76,Instagram,5,altamas
77,Instagram,2,gone bad worse getting bug regularly posting ui clunky enjoyable used
78,Instagram,3,good app hopper flow
79,Instagram,5,nice aap
80,Instagram,1,new feature ad break scrolling every second post ad enough push notification spam useless mandatory popups format change fitted content time burried app since limping obscurity thanks belonging methaverse
81,Instagram,1,nice
82,Instagram,5,ify best
83,Instagram,5,great
84,Instagram,5,instagram nice
85,Instagram,1,bring back old square format post
86,Instagram,1,promotes nudity minor
87,Instagram,1,lolol ai deleting picture soccer jersey collection im one saying im trying sell counterfeit good wont screen self harm nazi stuff csam stuff real soccer jersey collection issue
88,Instagram,5,update
89,Instagram,5,viral reel non follower growthing instagram account
90,Instagram,4,youre referring instagrams gift feature feature allows creator receive gift follower live stream gift way viewer show appreciation support favorite creator viewer sends gift appears live stream creator acknowledge thank realtime gift purchased instagrams star virtual token bought within app
91,Instagram,1,release note information developer nothing simply little therefore one provide specific feedback new implementation developer disappointing
92,Instagram,5,brother people cool app
93,Instagram,5,nice app
94,Instagram,1,could would give star
95,Instagram,5,amazing app
96,Instagram,5,perfect perfect everything last minute teaching
97,Instagram,5,good
98,Instagram,5,
99,Instagram,5,good
